Sl.No,Company Name,No. of Offers
1,Accenture,105
2,Cognizant,38
3,L & T Infotech,12
4,TCS,15
5,NTT Data,9
6,HUDL,9
7,Medi Assist,6
8,Amazon,6
9,OG Health Care,5
10,Bosch,4
11,IndusInd Bank,4
12,Climber Knowledge,4
13,Mu Sigma,4
14,Mecedes Benz,4
15,PWC,4
16,Solas Fire,4
17,Wipro,3
18,CIPLA,3
19,Lowes India,3
20,Sapient Technologies,3
21,Axis Bank,3
22,KPMG,3
23,24 X 7,3
24,Chegg India,3
25,Continental,2
26,Phonepe,2
27,Hunger Box,2
28,SAP,2
29,Infrrd,2
30,42 Gears,2
31,HPE,2
32,DXC Technology,2
33,Lumos,2
34,Tata Elxsi,2
35,RELIGARE HEALTH,2
36,Trelleborg,2
37,Tech Mahindra,2
38,PNB Met Life Insurance,2
39,NEUTRINOS,2
40,Quest Global,2
41,Vyuhgenics India Pvt. Ltd,1
42,JARO EDUCATION,2
43,SearchBourne Consuting,1
44,SQUARE YARDS,1
45,PINCLICK,1
46,Blue optima,1
47,Tata AIG,1
48,IBM,1
49,Daily Hunt,1
50,Hexaware Technologies,1
51,"IBJ ,Japan",1
52,Kaleyra,1
53,One Direct,1
54,"Synapse,Japan",1
55,Speridian,1
56,Sprinklr,1
57,Surya Software,1
58,Tech Magic,1
59,Tecosim,1
60,Thought Clan,1
61,Infosys,1
62,The Math,1
63,Empower Retirement,1
64,FIS Global,1
65,Axis Cades,1
66,Aptus Data Labs,1
67,Qualitech Group,1
68,Juniper Networks,1
69,Mphasis,1
70,keyence,1
71,Thinkn Solutions,1
72,Oracle,1
73,Sony,1
74,Pramata Software,1
75,ICICI,1
76,ADDRESS ADVISORS,1
77,Schindler,1
78,Prodapt,1
79,Wissen Infotech,1
80,Trellisoft,1
81,Yokogawa,1
82,Persistent,1
